OBJECTID,ZIPCODE,GIS_ID,WEB_URL,NAME,TYPE,LABEL,ZIP_CODE_TEXT,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
550,20060,ZIP_060,https://www.usps.com/,HOWARD UNIVERSITY HOSPITAL,UNIQUE,20060,20060,{1789C7C9-60E8-44D6-81DA-8FD325D22E0D},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
551,20062,ZIP_062,https://www.usps.com/,CHAMBER OF COMMERCE,UNIQUE,20062,20062,{64117041-731F-495B-877F-502D7CC0FD9E},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
552,20064,ZIP_064,https://www.usps.com/,CATHOLIC UNIVERSITY OF AMERICA,UNIQUE,20064,20064,{1E4C7B06-E53F-4389-8DAC-5EAAAE6437C2},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
553,20201,ZIP_201,https://www.usps.com/,DEPT OF HEALTH AND HUMAN SERVICES,UNIQUE,20201,20201,{F87AD3ED-6AA2-43F5-8725-F2EBAA4BC0F7},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
554,20202,ZIP_202,https://www.usps.com/,DEPARTMENT OF EDUCATION,UNIQUE,20202,20202,{CD6DC936-662F-45F3-B9B1-6AA829EF326F},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
555,20208,ZIP_208,https://www.usps.com/,NATIONAL INSTITUTE OF EDUCATION,UNIQUE,20208,20208,{AE04F0EB-3566-4D46-A1AB-214280AAB32D},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
556,20210,ZIP_210,https://www.usps.com/,DEPARTMENT OF LABOR,UNIQUE,20210,20210,{9E4C0F8A-F718-4218-81A2-34BB154F9B04},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
557,20211,ZIP_211,https://www.usps.com/,DEPARTMENT OF LABOR,UNIQUE,20211,20211,{37D8BA48-3E73-4A01-9531-5306843CB77B},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
558,20212,ZIP_212,https://www.usps.com/,BUREAU OF LABOR STATISTICS,UNIQUE,20212,20212,{458138E6-42E6-4FDE-8498-8C430B380BBB},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
559,20213,ZIP_213,https://www.usps.com/,MANPOWER ADMINISTRATION,UNIQUE,20213,20213,{17A95003-109F-440B-88C6-EA3B62243F31},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
560,20215,ZIP_215,https://www.usps.com/,PAY AUDIT DIVISION,UNIQUE,20215,20215,{475A38EA-B187-45A2-938D-3539EE289929},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
561,20216,ZIP_216,https://www.usps.com/,LABOR MANAGEMENT ADMIN.,UNIQUE,20216,20216,{F51FBF97-5673-4177-9A44-C4846EA7839B},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
562,20217,ZIP_217,https://www.usps.com/,U.S. TAX COURT,UNIQUE,20217,20217,{50C7B353-9BEE-404F-A160-ED4323471A63},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
563,20220,ZIP_220,https://www.usps.com/,DEPARTMENT OF THE TREASURY,UNIQUE,20220,20220,{FC96ADD0-8FA1-44A4-9003-D20EDA291FEE},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
564,20221,ZIP_221,https://www.usps.com/,INTERNAL REVENUE SERVICE,UNIQUE,20221,20221,{32728570-D655-4F75-9F3E-F331D3977787},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
565,20221,ZIP_221,https://www.usps.com/,INTERNAL REVENUE SERVICE,UNIQUE,20221,20221,{5D2F5774-132B-4FAA-B05C-EDD97B608BC7},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
566,20222,ZIP_222,https://www.usps.com/,INTERNAL REVENUE SERVICE,UNIQUE,20222,20222,{AE8762A7-2CAB-4362-801B-8F68EEE010D2},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
567,20036,ZIP_036,https://www.usps.com/, ,STANDARD,20036,20036,{1F2E2638-02AC-43C4-BA5A-007039FD0D8F},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
568,20037,ZIP_037,https://www.usps.com/, ,STANDARD,20037,20037,{C6DDBD62-3F56-44B1-90CA-D4DEBA627856},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
569,20039,ZIP_039,https://www.usps.com/,LAMOND-RIGGS POST OFFICE,POST OFFICE BOX,20039,20039,{68AC75EA-3BB3-4BBB-AF58-6BBB58272329},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
570,20040,ZIP_040,https://www.usps.com/,BRIGHTWOOD POST OFFICE,POST OFFICE BOX,20040,20040,{23633401-7907-4035-85D6-AEE4542405D2},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
571,20043,ZIP_043,https://www.usps.com/,MARTIN LUTHER KING JR POST OFFICE,POST OFFICE BOX,20043,20043,{3FE22F94-D651-47CA-AF53-5F5DE0E38382},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
572,20045,ZIP_045,https://www.usps.com/,NATIONAL PRESS BUILDING,UNIQUE,20045,20045,{A7E9170B-DAD8-4B18-B853-483EA8EDB78C},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
573,20049,ZIP_049,https://www.usps.com/,AARP,UNIQUE,20049,20049,{85E9C632-4E11-4F61-A278-8336420DABDA},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
574,20314,ZIP_314,https://www.usps.com/,US ARMY CORPS OF ENGINEERS,UNIQUE,20314,20314,{B39586C8-7B2B-4C62-866D-D048FCA53A22},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
575,20317,ZIP_317,https://www.usps.com/,ARMED FORCES RETIREMENT HOME,UNIQUE,20317,20317,{0922D88C-E542-48EE-86AF-B4F87D1E48A9},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
576,20319,ZIP_319,https://www.usps.com/,FORT LESLIE J. MCNAIR,UNIQUE,20319,20319,{DFBEBF62-171D-4E2F-9CD8-050072770986},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
577,20340,ZIP_340,https://www.usps.com/,BOLLING AIR FORCE BASE,UNIQUE,20340,20340,{39874035-1512-40F6-AA40-45ED9C078583},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
578,20372,ZIP_372,https://www.usps.com/,NAVY BUREAU OF MEDICINE AND SURGERY,UNIQUE,20372,20372,{EA92A5B6-E947-47EF-8B15-92EF5FDBDE29},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
579,20373,ZIP_373,https://www.usps.com/,ANACOSTIA NAVAL ANNEX,UNIQUE,20373,20373,{3EDF62A8-5877-4A85-A0CA-288DF87AE537},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
580,20404,ZIP_404,https://www.usps.com/,GOVERNMENT PRINTING OFFICE PROCUREMENT,UNIQUE,20404,20404,{88CEB6C8-AEBD-4530-9ECE-610731363C89},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
581,20405,ZIP_405,https://www.usps.com/,GENERAL SERVICES ADMINISTRATION,UNIQUE,20405,20405,{245254F1-4CD7-40AA-BECA-0EBF003C1A27},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
582,20407,ZIP_407,https://www.usps.com/,GENERAL SERVICES ADMINISTRATION,UNIQUE,20407,20407,{266382DC-E34B-49F3-B69F-618E4E1C2122},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
583,20408,ZIP_408,https://www.usps.com/,NATIONAL ARCHIVES,UNIQUE,20408,20408,{5C122008-E2C9-4E65-9875-B1720A025251},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
584,20410,ZIP_410,https://www.usps.com/,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,UNIQUE,20410,20410,{7BD21481-031E-438F-A282-CFBD88479D6A},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
585,20411,ZIP_411,https://www.usps.com/,FEDERAL HOUSING ADMINISTRATION,UNIQUE,20411,20411,{01F1DC40-B203-4250-B352-ADF7D983544D},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
586,20412,ZIP_412,https://www.usps.com/,FEDERAL HOUSING ADMINISTRATION,UNIQUE,20412,20412,{01C68246-B569-4274-8137-C4BA546DD785},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
